run_id,condition,bot,replication,session,taille_m_s,taille_m_s1,entrees_m_s,entrees_m_s1,ajouts,suppressions,elagages,overflows,n_flags_deobf
AE-gto-r3,AE,GTO,3,0,0,1359,0,1,1,0,0,0,0
AE-gto-r3,AE,GTO,3,1,1359,1389,1,1,1,1,0,0,0
AE-gto-r3,AE,GTO,3,2,1389,1635,1,1,1,1,0,0,0
AE-gto-r3,AE,GTO,3,3,1635,680,1,1,1,1,0,0,0
AE-gto-r3,AE,GTO,3,4,680,1105,1,1,1,1,0,0,0
AE-gto-r3,AE,GTO,3,5,1105,1122,1,1,1,1,0,0,0
AE-gto-r3,AE,GTO,3,6,1122,1227,1,1,1,1,0,0,0
AE-gto-r3,AE,GTO,3,7,1227,1219,1,1,1,1,0,0,0
AE-gto-r3,AE,GTO,3,8,1219,1357,1,1,1,1,0,0,0
AE-gto-r3,AE,GTO,3,9,1357,1551,1,1,1,1,0,0,0
AE-over-folder-r1,AE,Over-folder,1,0,0,595,0,1,1,0,0,0,0
AE-over-folder-r1,AE,Over-folder,1,1,595,492,1,1,1,1,0,0,0
AE-over-folder-r1,AE,Over-folder,1,2,492,350,1,1,1,1,0,0,0
AE-over-folder-r1,AE,Over-folder,1,3,350,359,1,1,1,1,0,0,0
AE-over-folder-r1,AE,Over-folder,1,4,359,333,1,1,1,1,0,0,0
AE-over-folder-r1,AE,Over-folder,1,5,333,393,1,1,1,1,0,0,0
AE-over-folder-r1,AE,Over-folder,1,6,393,393,1,1,0,0,0,0,0
AE-over-folder-r1,AE,Over-folder,1,7,393,367,1,1,1,1,0,0,0
AE-over-folder-r1,AE,Over-folder,1,8,367,367,1,1,0,0,0,0,0
AE-over-folder-r1,AE,Over-folder,1,9,367,377,1,1,1,1,0,0,0
