run_id,condition,bot,replication,machine,session,K,ecart,reference_recite,ev_pi_hat,ev_br,ev_realisee,actions_par_defaut,relances,erreurs_harnais,n_flags_deobf,n_flags_recitation,ecritures_intra_serie,plateau_declare,cout_tokens_in,cout_tokens_out,cout_tokens_cache_lus,cout_tokens_cache_ecrits
SM-gto-r3,SM,GTO,3,victus,1,150,0.19684966374621546,-0.19684966374621546,-0.19684966374621546,0.0,-0.15333333333333332,0,0,0,0,4,0,False,504,68187,1609,269460
SM-gto-r3,SM,GTO,3,victus,2,150,0.18930896439370026,-0.18930896439370026,-0.18930896439370026,0.0,-0.20666666666666667,0,0,0,0,1,0,False,516,69753,0,277528
SM-over-folder-r3,SM,Over-folder,3,victus,0,150,0.6794288041164603,0.0983489736613175,0.3205711958835397,1.0,0.32,0,0,0,0,2,0,False,450,64399,0,242048
SM-over-folder-r3,SM,Over-folder,3,victus,1,150,0.7435152868909675,0.034262490886810305,0.25648471310903254,1.0,0.24,0,0,0,0,1,0,False,457,67320,1609,240436
SM-over-folder-r3,SM,Over-folder,3,victus,2,150,0.7274341592644538,0.05034361851332398,0.2725658407355462,1.0,0.26666666666666666,0,0,0,1,0,0,False,450,61308,0,242053
AE-over-folder-r3,AE,Over-folder,3,victus,0,150,0.8031909970940456,-0.02541321931626779,0.19680900290595443,1.0,0.16,0,0,0,1,3,0,False,459,63721,0,244148
AE-over-folder-r3,AE,Over-folder,3,victus,1,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,0,0,0,False,456,12924,0,267695
AE-over-folder-r3,AE,Over-folder,3,victus,2,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,1,0,0,False,456,12691,0,263203
AE-over-folder-r3,AE,Over-folder,3,victus,3,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,0,0,0,False,456,14655,0,263655
AE-over-folder-r3,AE,Over-folder,3,victus,4,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,1,0,0,False,456,13993,0,267239
AE-over-folder-r3,AE,Over-folder,3,victus,5,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,1,0,0,False,456,12807,0,264253
AE-over-folder-r3,AE,Over-folder,3,victus,6,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,0,0,0,False,456,12165,0,264240
AE-over-folder-r3,AE,Over-folder,3,victus,7,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,1,0,0,True,456,13430,0,260946
AE-over-folder-r3,AE,Over-folder,3,victus,8,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,0,0,0,True,456,13164,0,260954
AE-over-folder-r3,AE,Over-folder,3,victus,9,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,0,0,0,True,456,11268,0,260200
