"bot","effet","ecart_type","ic95","borne_basse","borne_haute","conclusion"
"Over-folder",0.0039,0.0023,0.0056,-0.0017,0.0095,"contient zéro : indistinguable"
"Station",0.0381,0.0059,0.0148,0.0234,0.0529,"exclut zéro : AE l'emporte"
